[Sat Nov 02 17:38:21 2013] [error] [client 127.0.0.1] PHP   5. Roster->all() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/application/controllers/roster.php:23, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405106674.933314
[Sat Nov 02 17:38:21 2013] [error] [client 127.0.0.1] PHP   6. CI_Loader->view() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/application/controllers/roster.php:47, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405106674.933314
[Sat Nov 02 17:38:21 2013] [error] [client 127.0.0.1] PHP   7. CI_Loader->_ci_load() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/system/core/Loader.php:419, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405106674.933314
[Sat Nov 02 17:38:21 2013] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected '}', expecting ',' or ';' in /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/application/views/controllers/Roster/all.php on line 7, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405106674.933314
[Sat Nov 02 17:38:21 2013] [error] [client 127.0.0.1] PHP Stack trace:, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405106674.933314
[Sat Nov 02 17:38:21 2013] [error] [client 127.0.0.1] PHP   1. {main}() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/html/index.php:0, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405106674.933314
[Sat Nov 02 17:38:21 2013] [error] [client 127.0.0.1] PHP   2. require_once() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/html/index.php:219, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405106674.933314
[Sat Nov 02 17:38:21 2013] [error] [client 127.0.0.1] PHP   3. call_user_func_array() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/system/core/CodeIgniter.php:359, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405106674.933314
[Sat Nov 02 17:38:21 2013] [error] [client 127.0.0.1] PHP   4. Roster->index() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/system/core/CodeIgniter.php:359, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405106674.933314
[Sat Nov 02 17:38:21 2013] [error] [client 127.0.0.1] PHP   5. Roster->all() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/application/controllers/roster.php:23, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405106674.933314
[Sat Nov 02 17:38:21 2013] [error] [client 127.0.0.1] PHP   6. CI_Loader->view() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/application/controllers/roster.php:47, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405106674.933314
[Sat Nov 02 17:38:21 2013] [error] [client 127.0.0.1] PHP   7. CI_Loader->_ci_load() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/system/core/Loader.php:419, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405106674.933314
[Sat Nov 02 17:49:50 2013] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ']' in /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/application/views/controllers/Roster/all.php on line 10, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405107276.622734
[Sat Nov 02 17:49:50 2013] [error] [client 127.0.0.1] PHP Stack trace:, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405107276.622734
[Sat Nov 02 17:49:50 2013] [error] [client 127.0.0.1] PHP   1. {main}() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/html/index.php:0, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405107276.622734
[Sat Nov 02 17:49:50 2013] [error] [client 127.0.0.1] PHP   2. require_once() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/html/index.php:219, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405107276.622734
[Sat Nov 02 17:49:50 2013] [error] [client 127.0.0.1] PHP   3. call_user_func_array() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/system/core/CodeIgniter.php:359, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405107276.622734
[Sat Nov 02 17:49:50 2013] [error] [client 127.0.0.1] PHP   4. Roster->index() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/system/core/CodeIgniter.php:359, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405107276.622734
[Sat Nov 02 17:49:50 2013] [error] [client 127.0.0.1] PHP   5. Roster->all() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/application/controllers/roster.php:23, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405107276.622734
[Sat Nov 02 17:49:50 2013] [error] [client 127.0.0.1] PHP   6. CI_Loader->view() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/application/controllers/roster.php:47, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405107276.622734
[Sat Nov 02 17:49:50 2013] [error] [client 127.0.0.1] PHP   7. CI_Loader->_ci_load() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/system/core/Loader.php:419, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405107276.622734
[Sat Nov 02 17:49:50 2013] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ']' in /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/application/views/controllers/Roster/all.php on line 10, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405107276.622734
[Sat Nov 02 17:49:50 2013] [error] [client 127.0.0.1] PHP Stack trace:, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405107276.622734
[Sat Nov 02 17:49:50 2013] [error] [client 127.0.0.1] PHP   1. {main}() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/html/index.php:0, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405107276.622734
[Sat Nov 02 17:49:50 2013] [error] [client 127.0.0.1] PHP   2. require_once() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/html/index.php:219, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405107276.622734
[Sat Nov 02 17:49:50 2013] [error] [client 127.0.0.1] PHP   3. call_user_func_array() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/system/core/CodeIgniter.php:359, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405107276.622734
[Sat Nov 02 17:49:50 2013] [error] [client 127.0.0.1] PHP   4. Roster->index() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/system/core/CodeIgniter.php:359, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405107276.622734
[Sat Nov 02 17:49:50 2013] [error] [client 127.0.0.1] PHP   5. Roster->all() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/application/controllers/roster.php:23, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405107276.622734
[Sat Nov 02 17:49:50 2013] [error] [client 127.0.0.1] PHP   6. CI_Loader->view() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/application/controllers/roster.php:47, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405107276.622734
[Sat Nov 02 17:49:50 2013] [error] [client 127.0.0.1] PHP   7. CI_Loader->_ci_load() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/system/core/Loader.php:419, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405107276.622734
[Sat Nov 02 17:49:51 2013] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ']' in /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/application/views/controllers/Roster/all.php on line 10, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405107276.622734
[Sat Nov 02 17:49:51 2013] [error] [client 127.0.0.1] PHP Stack trace:, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405107276.622734
[Sat Nov 02 17:49:51 2013] [error] [client 127.0.0.1] PHP   1. {main}() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/html/index.php:0, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405107276.622734
[Sat Nov 02 17:49:51 2013] [error] [client 127.0.0.1] PHP   2. require_once() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/html/index.php:219, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405107276.622734
[Sat Nov 02 17:49:51 2013] [error] [client 127.0.0.1] PHP   3. call_user_func_array() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/system/core/CodeIgniter.php:359, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405107276.622734
[Sat Nov 02 17:49:51 2013] [error] [client 127.0.0.1] PHP   4. Roster->index() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/system/core/CodeIgniter.php:359, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405107276.622734
[Sat Nov 02 17:49:51 2013] [error] [client 127.0.0.1] PHP   5. Roster->all() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/application/controllers/roster.php:23, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405107276.622734
